	text	lang
0		
1	ايه الأكل 😜	ar
2	RT @nitishuna: @LasVegasChicas @I_luv_reds @DimondLadies @SiliconEros @herby2121 @hughcox69 @VxExx @Swt_Red @tthumb9090 @raggdoll_98 http:/…	und
3	"إنّ العرب إذا تغلبوا على أوطان أسرع إليها الخراب والسبب في ذلك أنها أمة وحشية بإستحكام عوائد التوحش وأسبابه فصار لهم خلقة وجبلة

- ابن خلدون"	ar
4	"RT @moonmona7: لن الومك على رِحيلك ...
فَـقٌـدْ رِحلت  لأٌنـَي ْ اَشٌـبَـعـتك ٌ حبآ حـتى  أكتفيت. .. http://t.co/ceD9aTiFfI"	ar
5	@16_Pirates any shots?	en
6	RT @Cancer_gk: A #Cancer may act shy and quiet, but will adamantly defend a loved one against outsiders.	en
7	@1voodoochild thanks for the follow💯	en
8	"""shitting on otherkin is ablist and transphobic as fuck"" ????"	en
9	112 #MTVHottest Britney Spears	en
10	"RT @Gggb769Gggb: هناك ضربه موجه  ستكون في عمق الخليج. 
ستغير مجريات  الاحداث 
ماعليكم سوا الصبر والانتصار. والايام بيننا لمن ستكون الغلبه. …"	ar
11	RT @BestofPisces: #Pisces won't always call you out on your bullshit, but trust me, they DO see it.	en
12	"これ、これ！！！
まじで50万楽勝だったwww
　　【http://t.co/Q6oJ3LxKKO】"	ja
13	@tenu_san 実習です寝れません…	ja
14	RT @TanBiitches: PREACH http://t.co/08TTjh7G01	en
15	"Boooa noiiiite,

Converso com Deus porque sei que Ele se importa. 󾌧󾍇󾌵"	pt
16	amk filmi beynimin içine etti ya düşünemiyorum şu an....	tr
17	RT @PerfectBaits: http://t.co/9Y8VAB9Gbq	und
18	RT @quotes4writers: Elie Wiesel: Words can sometimes, in moments of grace, attain the quality of deeds. | #writingtips #writing #amwriting	en
19	RT @marcusbrando: Tô carente de money	pt
20	ふぅ。ねみ	ja
21	تستحم و يصورها و هي خجلانا جديددددد + الصور &lt;&lt; فلم سكس عرب نار &gt;&gt;http://t.co/sx6PIWgtJw اضغط على الاعلان لمشاهدة الفيلم	ar
22	"RT @ana_auryneer: Voy a subir 15 fotos de David (2)
Recuerda: cada rt un voto

#VideoVeranoMTV auryn http://t.co/uPrYaZESw4"	es
23	"RT @AcostaCelu: Ella me stalkea ♡ 

Te amo rubea @aldii_leiva"	it
24	"самый любимый вайн с лм, где они говорят: лав ю.
я прям чувствую, что мои девочки говорят это мне"	ru
25	@ShivamDRao are you dumb blud.... You have missed more games than me and you are missing the most crucial bit	en
26	RT @PolloVignolo: Coincido plenamente señor gambeta  https://t.co/yuDxGFeCma	es
27	"ربي ارحمهما كما ربياني صغيرا
http://t.co/lLjXz7VPln"	ar
28	Naging malake ung uniform ko dahil sa buhol ko 😂😂	tl
29		
30	RT @oihanamarre: PTDDDDDDDDR LE PAUVRE http://t.co/HUvnDpgggb	fr
31	"RT @imamoglu53: Şerefsiz,alçaklar!

#SavaşYokTemizlikYapıyoruz http://t.co/EWD2NBEqJT"	tr
32	#nature 🌲🌳 http://t.co/tpHHZnwc7L	und
33	Et qui arrive dans la soirée? Jessy matador @JessyHereil	fr
34	@Emanshow14 u have to cuff if you want to keep Netflix and chilling	en
